manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1016/j.jneumeth.2016.03.001	doi:10.1016/j.jneumeth.2016.03.001	doi:10.1016/j.jneumeth.2016.03.001	WFutY7be
url:https://dicom.innolitics.com/ciods/ct-image/image-plane/00201041	url:https://dicom.innolitics.com/ciods/ct-image/image-plane/00201041	url:https://dicom.innolitics.com/ciods/ct-image/image-plane/00201041	wwifLCIk
